venir|vengo|vienes|viene|venimos|venís|vienen|venía|venías|venía|veníamos|veníais|venían|vine|viniste|vino|vinimos|vinisteis|vinieron|vendré|vendrás|vendrá|vendremos|vendréis|vendrán|venga|vengas|venga|vengamos|vengáis|vengan|viniere|vinieres|viniere|viniéremos|viniereis|vinieren|viniera|vinieras|viniera|viniéramos|vinierais|vinieran|viniese|vinieses|viniese|viniésemos|vinieseis|viniesen|vendría|vendrías|vendría|vendríamos|vendríais|vendrían
ver|veo|ves|ve|vemos|veis|ven|veía|veías|veía|veíamos|veíais|veían|vi|viste|vio|vimos|visteis|vieron|veré|verás|verá|veremos|veréis|verá|nvea|veas|vea|veamos|veáis|vean|viere|vieres|viere|viéremos|viereis|vieren|viera|vieras|viera|viéramos|vierais|vieran|viese|vieses|viese|viésemos|vieseis|viesen|vería|verías|vería|veríamos|veríais|verían
verter|vierto|viertes|vierte|vertemos|vertéis|vierten|vertía|vertías|vertía|vertíamos|vertíais|vertían|vertí|vertiste|vertió|vertimos|vertisteis|vertieron|verteré|verterás|verterá|verteremos|verteréis|verterán|vierta|viertas|vierta|vertamos|vertáis|viertan|vertiere|vertieres|vertiere|vertiéremos|vertiereis|vertieren|vertiera|vertieras|vertiera|vertiéramos|vertierais|vertieran|vertiese|vertieses|vertiese|vertiésemos|vertieseis|vertiesen|vertería|verterías|vertería|verteríamos|verteríais|verterían
vestir|visto|vistes|viste|vestimos|vestís|visten|vestía|vestías|vestía|vestíamos|vestíais|vestían|vestí|vestiste|vistió|vestimos|vestisteis|vistieron|vestiré|vestirás|vestirá|vestiremos|vestiréis|vestirán|vista|vistas|vista|vistamos|vistáis|vistan|vistiere|vistieres|vistiere|vistiéremos|vistiereis|vistieren|vistiera|vistieras|vistiera|vistiéramos|vistierais|vistieran|vistiese|vistieses|vistiese|vistiésemos|vistieseis|vistiesen|vestiría|vestirías|vestiría|vestiríamos|vestiríais|vestirían
volar|vuelo|vuelas|vuela|volamos|voláis|vuelan|volaba|volabas|volaba|volábamos|volabais|volaban|volé|volaste|voló|volamos|volasteis|volaron|volaré|volarás|volará|volaremos|volaréis|volarán|vuele|vueles|vuele|volemos|voléis|vuelen|volare|volares|volare|voláremos|volareis|volaren|volara|volaras|volara|voláramos|volarais|volaran|volase|volases|volase|volásemos|volaseis|volasen|volaría|volarías|volaría|volaríamos|volaríais|volarían
volcar|vuelco|vuelcas|vuelca|volcamos|volcáis|vuelcan|volcaba|volcabas|volcaba|volcábamos|volcabais|volcaban|volqué|volcaste|volcó|volcamos|volcasteis|volcaron|volcaré|volcarás|volcará|volcaremos|volcaréis|volcarán|vuelque|vuelques|vuelque|volquemos|volquéis|vuelquen|volcare|volcares|volcare|volcáremos|volcareis|volcaren|volcara|volcaras|volcara|volcáramos|volcarais|volcaran|volcase|volcases|volcase|volcásemos|volcaseis|volcasen|volcaría|volcarías|volcaría|volcaríamos|volcaríais|volcarían
volver|vuelvo|vuelves|vuelve|volvemos|volvéis|vuelven|volvía|volvías|volvía|volvíamos|volvíais|volvían|volví|volviste|volvió|volvimos|volvisteis|volvieron|volveré|volverás|volverá|volveremos|volveréis|volverán|vuelva|vuelvas|vuelva|volvamos|volváis|vuelvan|volviere|volvieres|volviere|volviéremos|volviereis|volvieren|volviera|volvieras|volviera|volviéramos|volvierais|volvieran|volviese|volvieses|volviese|volviésemos|volvieseis|volviesen|volvería|volverías|volvería|volveríamos|volveríais|volverían
yuxtaponer|yuxtapongo|yuxtapones|yuxtapone|yuxtaponemos|yuxtaponéis|yuxtaponen|yuxtaponía|yuxtaponías|yuxtaponía|yuxtaponíamos|yuxtaponíais|yuxtaponían|yuxtapuse|yuxtapusiste|yuxtapuso|yuxtapusimos|yuxtapusisteis|yuxtapusieron|yuxtapondré|yuxtapondrás|yuxtapondrá|yuxtapondremos|yuxtapondréis|yuxtapondrán|yuxtaponga|yuxtapongas|yuxtaponga|yuxtapongamos|yuxtapongáis|yuxtapongan|yuxtapusiere|yuxtapusieres|yuxtapusiere|yuxtapusiéremos|yuxtapusiereis|yuxtapusieren|yuxtapusiera|yuxtapusieras|yuxtapusiera|yuxtapusiéramos|yuxtapusierais|yuxtapusieran|yuxtapusiese|yuxtapusieses|yuxtapusiese|yuxtapusiésemos|yuxtapusieseis|yuxtapusiesen|yuxtapondría|yuxtapondrías|yuxtapondría|yuxtapondríamos|yuxtapondríais|yuxtapondrían
abastecer|abastezco|abasteces|abastece|abastecemos|abastecéis|abastecen|abastecía|abastecías|abastecía|abastecíamos|abastecíais|abastecían|abastecí|abasteciste|abasteció|abastecimos|abastecisteis|abastecieron|abasteceré|abastecerás|abastecerá|abasteceremos|abasteceréis|abastecerán|abastezca|abastezcas|abastezca|abastezcamos|abastezcáis|abastezcan|abasteciere|abastecieres|abasteciere|abasteciéremos|abasteciereis|abastecieren|abasteciera|abastecieras|abasteciera|abasteciéramos|abastecierais|abastecieran|abasteciese|abastecieses|abasteciese|abasteciésemos|abastecieseis|abasteciesen|abastecería|abastecerías|abastecería|abasteceríamos|abasteceríais|abastecerían
abrir|abro|abres|abre|abrimos|abrís|abren|abría|abrías|abría|abríamos|abríais|abrían|abrí|abriste|abrió|abrimos|abristeis|abrieron|abriré|abrirás|abrirá|abriremos|abriréis|abrirán|abra|abras|abra|abramos|abráis|abran|abriere|abrieres|abriere|abriéremos|abriereis|abrieren|abriera|abrieras|abriera|abriéramos|abrierais|abrieran|abriese|abrieses|abriese|abriésemos|abrieseis|abriesen|abriría|abrirías|abriría|abriríamos|abriríais|abrirían
